carrera,modalidad,beca,edad,promedio,asistencias,aprobado
Industrial,Presencial,Si,29,5.8,64,Si
Industrial,Hibrida,Si,27,6.6,51,No
Arquitectura,Presencial,Si,29,8.200000000000001,84,Si
Economia,Presencial,Si,29,6.6,67,No
Economia,Presencial,Si,24,5.1,72,No
Industrial,Virtual,Si,24,5.0,52,No
Computacion,Hibrida,Si,30,6.4,55,No
Medicina,Virtual,No,28,9.0,54,No
Economia,Hibrida,Si,27,8.4,84,Si
Medicina,Virtual,Si,28,6.6000000000000005,92,No
Medicina,Virtual,Si,21,10.0,85,Si
Industrial,Virtual,Si,22,5.3999999999999995,84,No
Arquitectura,Virtual,No,21,10.0,38,No
Computacion,Presencial,Si,28,5.3,93,No
Medicina,Hibrida,No,26,5.5,90,No
Computacion,Hibrida,No,30,7.8,57,No
Derecho,Virtual,Si,29,9.700000000000001,56,No
Industrial,Virtual,Si,20,6.7,55,No
Computacion,Virtual,No,21,4.3,79,No
Medicina,Presencial,Si,20,8.2,92,Si
Medicina,Presencial,Si,29,6.2,100,No
Medicina,Presencial,Si,21,4.800000000000001,65,No
Computacion,Presencial,Si,21,5.1000000000000005,52,No
Derecho,Virtual,No,21,7.2,76,Si
Medicina,Virtual,Si,19,4.8999999999999995,69,No
Computacion,Hibrida,Si,18,7.0,71,Si
Derecho,Presencial,No,20,6.5,67,No
Computacion,Virtual,Si,18,8.700000000000001,79,Si
Derecho,Presencial,No,25,6.9,75,No
Derecho,Virtual,Si,24,5.8,81,No
Industrial,Hibrida,No,20,5.1,63,No
Arquitectura,Hibrida,Si,29,6.4,53,No
Arquitectura,Presencial,Si,26,4.6,61,No
Derecho,Virtual,Si,27,6.0,82,No
Arquitectura,Hibrida,No,22,5.2,95,No
Economia,Virtual,Si,28,8.6,64,No
Computacion,Virtual,Si,19,7.3,69,Si
Computacion,Presencial,No,22,4.9,84,No
Arquitectura,Hibrida,Si,28,9.6,69,Si
Derecho,Virtual,Si,19,8.7,46,No
Economia,Presencial,No,26,6.9,53,No
Medicina,Virtual,Si,18,6.1,60,No
Industrial,Virtual,Si,19,4.9,85,No
Arquitectura,Hibrida,Si,24,5.1,69,No
Computacion,Virtual,Si,28,6.1,40,No
Medicina,Hibrida,Si,21,9.2,72,No
Economia,Virtual,Si,22,5.3,86,No
Medicina,Presencial,Si,25,6.3,100,No
Medicina,Virtual,No,19,9.8,60,No
Arquitectura,Virtual,Si,19,9.8,56,No
Computacion,Presencial,No,23,8.4,70,Si
Arquitectura,Presencial,No,27,5.1,52,No
Computacion,Hibrida,Si,23,7.3,92,Si
Industrial,Presencial,No,26,5.9,76,Si
Industrial,Virtual,Si,21,7.0,64,Si
Arquitectura,Presencial,No,22,5.3,100,No
Industrial,Virtual,No,25,6.7,43,No
Industrial,Presencial,Si,22,7.6,90,Si
Derecho,Hibrida,No,21,8.8,59,No
Derecho,Virtual,Si,25,7.1,79,Si
Medicina,Presencial,Si,28,8.7,100,Si
Industrial,Hibrida,No,18,7.3,57,No
Medicina,Hibrida,No,30,9.3,100,Si
Arquitectura,Virtual,Si,29,9.799999999999999,65,No
Economia,Hibrida,No,28,5.4,78,No
Economia,Presencial,No,23,5.9,84,Si
Derecho,Presencial,No,29,4.9,63,No
Medicina,Virtual,No,24,4.4,82,No
Arquitectura,Virtual,No,18,9.7,52,No
Medicina,Hibrida,Si,25,5.3,89,No
Industrial,Virtual,Si,25,10.0,84,Si
Industrial,Presencial,Si,28,6.699999999999999,79,Si
Economia,Presencial,No,23,6.0,74,Si
Medicina,Virtual,Si,25,4.3,73,No
Industrial,Presencial,Si,21,5.7,51,No
Medicina,Hibrida,Si,27,10.0,88,Si
Arquitectura,Hibrida,Si,30,9.0,69,Si
Economia,Hibrida,No,24,9.6,62,Si
Industrial,Hibrida,Si,19,8.899999999999999,69,No
Computacion,Hibrida,Si,23,7.5,92,Si
Economia,Presencial,No,25,4.6,73,No
Medicina,Hibrida,Si,24,5.3,98,No
Arquitectura,Virtual,No,24,9.0,74,Si
Derecho,Presencial,No,25,5.5,79,No
Industrial,Virtual,No,18,7.0,60,Si
Economia,Virtual,No,22,9.3,81,Si
Arquitectura,Presencial,Si,21,8.700000000000001,81,Si
Medicina,Hibrida,No,25,8.8,64,Si
Industrial,Presencial,No,28,7.5,80,Si
Economia,Virtual,No,23,8.2,53,No
Computacion,Hibrida,Si,23,5.5,84,No
Derecho,Presencial,No,22,8.3,98,Si
Economia,Presencial,Si,22,5.6000000000000005,61,No
Derecho,Virtual,Si,18,7.8,85,Si
Computacion,Presencial,No,25,6.9,71,Si
Computacion,Virtual,No,19,8.9,55,No
Industrial,Hibrida,Si,20,5.7,86,Si
Derecho,Presencial,No,27,7.6,89,Si
Arquitectura,Virtual,No,25,5.8,69,Si
Arquitectura,Presencial,Si,30,5.4,63,No
Derecho,Presencial,Si,20,4.6,78,No
Computacion,Presencial,No,29,5.7,79,Si
Derecho,Virtual,Si,24,5.4,55,No
Computacion,Presencial,Si,30,6.5,97,No
Medicina,Presencial,No,29,5.8,84,No
Medicina,Virtual,Si,27,4.2,74,No
Industrial,Hibrida,Si,30,8.5,67,No
Derecho,Virtual,No,22,5.1,69,No
Medicina,Presencial,No,23,6.5,85,Si
Derecho,Virtual,No,29,7.0,75,Si
Arquitectura,Presencial,No,19,5.9,70,Si
Medicina,Hibrida,Si,28,9.2,90,Si
Arquitectura,Virtual,No,30,4.3,58,No
Medicina,Hibrida,No,19,4.2,100,No
Industrial,Presencial,No,26,4.1,76,No
Computacion,Virtual,Si,28,9.4,67,Si
Medicina,Virtual,Si,25,8.0,73,Si
Medicina,Virtual,No,18,5.7,63,No
Medicina,Hibrida,No,23,6.0,100,Si
Economia,Presencial,Si,27,6.6,99,Si
Medicina,Hibrida,No,24,9.9,100,Si
Medicina,Presencial,Si,26,10.0,77,Si
Arquitectura,Virtual,Si,29,5.0,82,No
Economia,Virtual,No,28,4.5,54,No
Industrial,Hibrida,No,26,4.2,54,No
Industrial,Virtual,Si,29,4.9,48,No
Computacion,Presencial,No,30,4.3,72,No
Derecho,Presencial,No,27,8.1,61,Si
Computacion,Hibrida,No,27,8.1,81,Si
Derecho,Presencial,No,28,5.5,66,No
Medicina,Virtual,Si,19,7.2,72,Si
Economia,Virtual,No,21,10.0,72,Si
